Date,Open,Range,Volume,Log_Volume,Return_Percentage,3_Day_Avg_AdjClose(Delay),PriorDay_AdjClose,Adj Close
2024-04-30,872.40,25.19,36370900,7.56,-1.544%,860.41333,877.57,864.02
2024-05-01,850.77,47.45,55986300,7.75,-3.890%,872.980001,864.02,830.41
2024-05-02,844.49,30.37,37789800,7.58,3.343%,857.3333333,830.41,858.17
2024-05-03,877.89,22.41,39834100,7.60,3.463%,850.8666587,858.17,887.89
2024-05-06,893.90,31.65,37620300,7.58,3.774%,858.8233237,887.89,921.40
2024-05-07,910.98,94.56,43734200,7.64,-1.721%,889.1533407,921.40,905.54
2024-05-08,894.83,17.74,32572100,7.51,-0.157%,904.943339,905.54,904.12
2024-05-09,905.29,28.41,37801300,7.58,-1.842%,910.3533323,904.12,887.47
2024-05-10,903.05,21.74,33455700,7.52,1.274%,899.0433147,887.47,898.78
2024-05-13,904.70,24.67,28710641,7.46,0.580%,896.7899983,898.78,903.99
